title,description,category,subcategory,priority,department
Requesting Python and Docker desktop installation,Need local development tools installed on my workstation for new project.,Software,Software Installation,MEDIUM,Software Support
VPN certificate expired,Error message says client certificate has expired and needs renewal from network admin.,Network,VPN,HIGH,Network Support
Need immediate help with this. Company-wide intranet and ERP completely inaccessible,"All employees in North America region unable to access ERP, HR portal, or intranet. Occurred right after rebooting.",Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Escalation: Company-wide intranet and ERP completely inaccessible,"All employees in North America region unable to access ERP, HR portal, or intranet. Impacting ongoing customer deliverables.",Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Internal DNS not resolving intranet portals,Attempts to navigate to intranet.company.local result in DNS_PROBE_FINISHED_NXDOMAIN.,Network,DNS,HIGH,Network Support
Charger cable frayed and spark noticed,The USB-C power adapter cable is frayed near the brick and needs replacement.,Hardware,Laptop,LOW,Hardware Support
Help needed: USB thumb drive found in parking lot plugged in by mistake,An employee plugged an unknown USB drive found outside into their desktop. Kindly look into this as soon as possible.,Security,Security Incident,CRITICAL,Security
FYI for the helpdesk team. Outlook calendar appointments disappeared,Shared team calendar is not syncing and recurring meetings have vanished. Multiple teammates are experiencing this as well.,Email,Outlook Problem,LOW,Email Support
Need immediate help with this. Outlook stuck on 'Loading Profile' splash,Outlook desktop client does not open past the profile loading screen. Occurred right after rebooting.,Email,Outlook Problem,MEDIUM,Email Support
Laptop keyboard spacebar and enter key broken,Several keys on the built-in keyboard are unresponsive or falling off.,Hardware,Laptop,HIGH,Hardware Support
Urgent assistance required: Production Kubernetes cluster node kernel panic,Worker node 04 crashed with kernel panic; pods evicting to remaining nodes. Error code was captured in screenshot.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
FYI for the helpdesk team. Figma enterprise seat license request,Need editor access to team design files in Figma workspace. Multiple teammates are experiencing this as well.,Software,License Issue,MEDIUM,Software Support
FYI for the helpdesk team. Spam filter letting through malicious invoice attachments,Spoofed emails with zip attachments bypassing Office 365 spam filters. Multiple teammates are experiencing this as well.,Email,Spam,MEDIUM,Email Support
Chrome browser update failed with error 7,Chrome cannot update to latest security release on enterprise workstation.,Software,Update Issue,HIGH,Software Support
Issue started this morning. Pulse Secure VPN crashing on startup,"Whenever I launch the Pulse Secure VPN app on Windows 11, it crashes immediately. Restarting the system did not resolve the problem.",Network,VPN,MEDIUM,Network Support
Urgent assistance required: High network latency in design studio,"Ping times to internal file server spiked to 600ms, impacting video editing. Error code was captured in screenshot.",Network,Internet Connectivity,HIGH,Network Support
Issue started this morning. JetBrains IntelliJ IDEA license key expired,License server says no floating licenses available for IntelliJ Ultimate. Restarting the system did not resolve the problem.,Software,License Issue,MEDIUM,Software Support
Urgent assistance required: Antivirus pop-up: Trojan.Win32 detected and quarantined,Windows Defender alerted about suspicious executable found in Temp directory. Error code was captured in screenshot.,Security,Malware,CRITICAL,Security
FYI for the helpdesk team. WiFi captive portal not appearing,"When connecting to the guest wireless network, the captive portal login page does not load. Multiple teammates are experiencing this as well.",Network,WiFi,MEDIUM,Network Support
Issue started this morning. USB thumb drive found in parking lot plugged in by mistake,An employee plugged an unknown USB drive found outside into their desktop. Restarting the system did not resolve the problem.,Security,Security Incident,CRITICAL,Security
Active Directory domain controller replication failed,DC02 is failing Kerberos authentication and replication sync with primary DC01.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Need immediate help with this. Requesting file restoration from tape backup,Need accidentally deleted folder /var/www/legacy restored from last Friday's backup. Occurred right after rebooting.,Server / Infrastructure,Backup,MEDIUM,Infrastructure
Tableau Desktop license activation error,Tableau activation server unreachable error when activating license key.,Software,License Issue,MEDIUM,Software Support
Issue started this morning. Nightly automated database backup failed,Veeam / pg_dump job terminated with exit code 1; snapshot could not be committed. Restarting the system did not resolve the problem.,Server / Infrastructure,Backup,MEDIUM,Infrastructure
FYI for the helpdesk team. Chrome browser update failed with error 7,Chrome cannot update to latest security release on enterprise workstation. Multiple teammates are experiencing this as well.,Software,Update Issue,HIGH,Software Support
Please assist urgently. Total datacenter power loss / UPS failure in Server Room B,Main power feed tripped; backup generator engaged but UPS A did not switch cleanly. This is blocking my daily tasks.,Server / Infrastructure,System Outage,CRITICAL,Infrastructure
Help needed: Jabra headset microphone not capturing audio,Can hear callers in Teams meeting but microphone picks up no sound. Kindly look into this as soon as possible.,Hardware,Peripherals,LOW,Hardware Support
FYI for the helpdesk team. Password reset link expired or invalid,Self-service password reset portal says security questions are not configured. Multiple teammates are experiencing this as well.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Unable to reset password via SMS OTP,OTP code for password reset is not arriving on my registered mobile device.,Account & Access,Password Reset,LOW,IT Helpdesk
Confidential customer data sent to wrong external email address,Mistakenly autofilled incorrect recipient and sent quarterly client PII spreadsheet.,Security,Security Incident,CRITICAL,Security
Need immediate help with this. Pulse Secure VPN crashing on startup,"Whenever I launch the Pulse Secure VPN app on Windows 11, it crashes immediately. Occurred right after rebooting.",Network,VPN,HIGH,Network Support
Need immediate help with this. Outlook search indexing not returning emails,Searching for customer emails in Outlook returns zero results or incomplete list. Occurred right after rebooting.,Email,Outlook Problem,MEDIUM,Email Support
Escalation: Unable to reset password via SMS OTP,OTP code for password reset is not arriving on my registered mobile device. Impacting ongoing customer deliverables.,Account & Access,Password Reset,HIGH,IT Helpdesk
Issue started this morning. VPN client installation error,"When trying to install the Cisco VPN client on macOS, the installer throws error 1722. Restarting the system did not resolve the problem.",Network,VPN,MEDIUM,Network Support
FYI for the helpdesk team. Suspicious CEO gift card request email,Email purporting to be from CEO asking for employee cell phone numbers. Multiple teammates are experiencing this as well.,Email,Spam,MEDIUM,Email Support
NFS mount stale file handle on backup server,Backup script failing because NFS export becomes unreachable during sync.,Server / Infrastructure,Storage,HIGH,Infrastructure
Urgent assistance required: Outgoing emails blocked by spam filter,Sent emails are bouncing with SPF/DKIM validation failure message. Error code was captured in screenshot.,Email,Email Not Sending,HIGH,Email Support
FYI for the helpdesk team. Receiving multiple targeted phishing emails,Several staff members received email asking to verify credentials urgently. Multiple teammates are experiencing this as well.,Email,Spam,MEDIUM,Email Support
Need immediate help with this. Mailbox full quota exceeded error,Cannot receive new incoming emails because mailbox has reached 50 GB limit. Occurred right after rebooting.,Email,Email Not Receiving,MEDIUM,Email Support
Office WiFi keeps dropping connection,The 5GHz WiFi in conference room 3B drops connections every few minutes.,Network,WiFi,MEDIUM,Network Support
macOS Sonoma update bricked display output,"After applying OS patch, secondary monitors are no longer detected.",Software,Update Issue,HIGH,Software Support
Urgent assistance required: Mailbox full quota exceeded error,Cannot receive new incoming emails because mailbox has reached 50 GB limit. Error code was captured in screenshot.,Email,Email Not Receiving,HIGH,Email Support
FYI for the helpdesk team. Slow WiFi speeds on 4th floor,Speed test shows under 2 Mbps across the entire marketing floor WiFi access points. Multiple teammates are experiencing this as well.,Network,WiFi,MEDIUM,Network Support
PostgreSQL primary database connection pool exhausted,Application logs show 'FATAL: remaining connection slots are reserved for non-replication superuser connections'.,Server / Infrastructure,Database Issue,HIGH,Infrastructure
Urgent assistance required: Hyper-V host hardware purple screen of death,Host server running 15 virtual machines crashed due to memory parity error. Error code was captured in screenshot.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Issue started this morning. Charger cable frayed and spark noticed,The USB-C power adapter cable is frayed near the brick and needs replacement. Restarting the system did not resolve the problem.,Hardware,Laptop,HIGH,Hardware Support
"New phone, need MFA Authenticator reset",I upgraded my smartphone and lost Microsoft Authenticator app 2FA tokens.,Account & Access,MFA,HIGH,IT Helpdesk
Need immediate help with this. Phishing campaign report: fake payroll bonus notification,Received email claiming HR bonus with macro-enabled Excel document attached. Occurred right after rebooting.,Security,Phishing,HIGH,Security
Wireless mouse scroll wheel broken,Logitech wireless mouse scroll wheel is spinning freely without scrolling.,Hardware,Peripherals,LOW,Hardware Support
Need immediate help with this. Chrome browser update failed with error 7,Chrome cannot update to latest security release on enterprise workstation. Occurred right after rebooting.,Software,Update Issue,MEDIUM,Software Support
Multiple failed login attempts during midnight hours,Security log shows 400 failed login attempts against my username.,Security,Suspicious Login,HIGH,Security
Cannot connect to corporate VPN,Unable to establish VPN connection from home. It says handshake failed or connection timed out.,Network,VPN,MEDIUM,Network Support
Issue started this morning. YubiKey hardware token not recognized for MFA,FIDO2 security key fails when tapping for multi-factor authentication. Restarting the system did not resolve the problem.,Account & Access,MFA,MEDIUM,IT Helpdesk
Issue started this morning. Salesforce desktop plugin crashing Outlook,Add-in for Salesforce causes Outlook to hang during startup in safe mode. Restarting the system did not resolve the problem.,Software,Application Crash,HIGH,Software Support
Issue started this morning. Stale DNS records for staging server,DNS still points to the old decommissioned IP address 10.0.5.21. Restarting the system did not resolve the problem.,Network,DNS,HIGH,Network Support
Help needed: Requesting file restoration from tape backup,Need accidentally deleted folder /var/www/legacy restored from last Friday's backup. Kindly look into this as soon as possible.,Server / Infrastructure,Backup,CRITICAL,Infrastructure
Issue started this morning. Wireless mouse scroll wheel broken,Logitech wireless mouse scroll wheel is spinning freely without scrolling. Restarting the system did not resolve the problem.,Hardware,Peripherals,LOW,Hardware Support
Spear phishing targeting executive assistant,Attacker attempting wire transfer authorization using spoofed CFO email header.,Security,Phishing,CRITICAL,Security
FYI for the helpdesk team. Cannot send email to distribution list,Getting error: 'You don't have permission to send to this distribution group.' Multiple teammates are experiencing this as well.,Email,Email Not Sending,MEDIUM,Email Support
FYI for the helpdesk team. USB thumb drive found in parking lot plugged in by mistake,An employee plugged an unknown USB drive found outside into their desktop. Multiple teammates are experiencing this as well.,Security,Security Incident,CRITICAL,Security
Urgent assistance required: VPN authentication failed,Entering my credentials but VPN says authentication error even though password is correct. Error code was captured in screenshot.,Network,VPN,HIGH,Network Support
Issue started this morning. Emails going directly to Junk / Spam folder,Legitimate internal communication from HR is being routed to Spam folder. Restarting the system did not resolve the problem.,Email,Email Not Receiving,HIGH,Email Support
Please assist urgently. Workstation displaying weird popups and opening browsers,Browser windows opening automatically to gambling and ad sites every 30 seconds. This is blocking my daily tasks.,Security,Malware,CRITICAL,Security
Need immediate help with this. Bounce back error 550 Relaying denied,Sending email to client domains results in NDR error 5.7.1 Access denied. Occurred right after rebooting.,Email,Email Not Sending,HIGH,Email Support
FYI for the helpdesk team. No internet access on workstation,"Ethernet cable is plugged in, link lights are on, but cannot browse any websites. Multiple teammates are experiencing this as well.",Network,Internet Connectivity,HIGH,Network Support
Please assist urgently. Unable to connect to office WiFi,My laptop sees the Corp-WiFi SSID but fails to obtain an IP address via DHCP. This is blocking my daily tasks.,Network,WiFi,HIGH,Network Support
AWS IAM console read-only access request,Requesting AWS sandbox account access for cloud architecture evaluation.,Account & Access,Access Request,MEDIUM,IT Helpdesk
Escalation: Lost company laptop on public transit,Left encrypted MacBook Pro on the train this morning. Need remote wipe immediately. Impacting ongoing customer deliverables.,Security,Security Incident,CRITICAL,Security
Production Kubernetes cluster node kernel panic,Worker node 04 crashed with kernel panic; pods evicting to remaining nodes.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
"Issue started this morning. New phone, need MFA Authenticator reset",I upgraded my smartphone and lost Microsoft Authenticator app 2FA tokens. Restarting the system did not resolve the problem.,Account & Access,MFA,HIGH,IT Helpdesk
Escalation: Printer leaving black smudge across pages,"Drum unit appears dirty, leaving horizontal stripes on every printed invoice. Impacting ongoing customer deliverables.",Hardware,Printer,LOW,Hardware Support
Remote access VPN speed extremely slow,VPN connection is established but speeds are below 50 Kbps making it impossible to work.,Network,VPN,CRITICAL,Network Support
Intermittent packet loss on office LAN,Experiencing 25% packet loss when pinging local gateway 192.168.1.1.,Network,Internet Connectivity,MEDIUM,Network Support
Need urgent network assist,Having issues connecting to internal network resources.,Network,VPN,HIGH,Network Support
